cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob
3518147799990831,Elizabeth,Murray,F,903 Brown Pine,Cristianville,Iowa,62472,-87.971873,-134.957919,Geophysicist/field seismologist,1980-09-22
630486189750,Eugene,Smith,M,710 Schwartz Lodge Suite 478,Travisbury,Florida,75391,-15.828571,-145.230924,Orthoptist,1953-05-17
3529004870847009,Nathaniel,Harris,M,4352 Duane Cliffs Apt. 275,East Jamieview,New Mexico,45357,-17.0368405,53.614600,Osteopath,2005-08-05
3584224084353196,Annette,Smith,M,852 Davis Shoals,Ortizfort,Massachusetts,63967,-12.570701,-109.806996,"Scientist, research (maths)",1993-05-05
5595363209117045,Stephen,Oliver,F,2457 Kathleen Plains,Nelsonmouth,Montana,72303,0.854521,-58.654677,"Engineer, control and instrumentation",1957-06-11
4768977802057614436,Gabrielle,Howard,F,4851 Lopez Road,Thompsonland,California,16515,14.318693,-8.912340,Public relations officer,1962-09-01
4823597139531224,Cheryl,Johnson,M,7619 Galvan Burg Suite 399,Danamouth,Illinois,64770,-10.3275825,-61.556126,Video editor,1979-04-07
4545807250100841,Jared,Villanueva,M,8236 Wood Island,Carolineburgh,Utah,32015,-11.0427485,-17.210048,"Editor, commissioning",1945-12-15
3559786421136501,Heather,Johnson,M,5987 Teresa Squares Suite 629,Port Elizabeth,Hawaii,38309,-24.5991735,28.228869,Medical laboratory scientific officer,1974-04-10
5395979269628621,Tammy,Blackwell,M,6859 Mccullough Valleys,South Calvinberg,New Mexico,80043,-6.695254,18.001027,"Producer, radio",1940-07-25
4972957300287130,Emily,Medina,F,156 Brandon Rest,Javierland,Wyoming,06425,32.590522,-96.233937,Telecommunications researcher,1950-05-01
4562784455033473,Robert,Johnson,M,6316 Brittney Highway,West Jose,Oklahoma,49713,32.0522295,-47.647233,"Nurse, children's",1941-04-29
6549186563503533,Charles,Wallace,M,21590 Roy Walks Apt. 366,Williamsburgh,New Hampshire,50742,-59.585905,137.541906,Hospital doctor,1955-08-16
3557042555641870,Amy,Dean,F,898 Tran Ways,Heathertown,Florida,93405,28.5280985,91.037310,Psychotherapist,1983-05-14
6011524805373209,Erica,Jackson,M,8401 Joseph Fort Suite 998,Princefurt,Oregon,26263,-83.826434,-139.432958,Commercial/residential surveyor,1941-10-29
213151619297306,Shirley,Jordan,M,52984 Regina Rue Suite 292,New Jason,Ohio,29101,60.677161,-54.659664,Civil Service administrator,1947-01-09
3531924974816541,Margaret,Hernandez,M,8105 Jeffrey Summit Suite 362,New Christopher,Nebraska,97876,-54.409298,147.838292,"Research officer, government",1953-12-14
4562209792500668831,Michelle,Dixon,F,8501 Mack Underpass,Georgefurt,Wyoming,03102,-2.4774755,32.966686,"Teacher, special educational needs",1985-07-19
30512655916110,Kevin,Rivera,M,89182 Dillon Walks Apt. 845,Port Henry,Texas,61601,-18.2582565,137.727868,"Programmer, systems",2006-02-07
213141365682108,Michael,Taylor,M,3017 Arellano Burgs,East Russell,Minnesota,52611,59.6348535,-178.047319,Chief Operating Officer,1997-04-03
2270390313189155,Sierra,Warren,M,148 Carrie Road,Lake Nancymouth,Vermont,92194,-13.9318755,0.519273,Ophthalmologist,1954-02-11
180030502562720,Jason,Collins,M,9588 Barry Parkways Suite 583,North James,West Virginia,96888,22.0149425,105.610192,Purchasing manager,1986-02-02
4288577600081029883,Marissa,Carter,F,610 Shannon Neck,North Drew,Nevada,26625,-40.741977,29.969860,"Biochemist, clinical",1991-07-08
4744602087289,Jessica,Harvey,F,0567 Melissa Crest Apt. 761,Maynardhaven,Oklahoma,58033,21.0806785,40.898765,Dealer,1999-03-30
4399504353246,Kyle,Daniels,M,8990 Jesse Drive Suite 452,South Brianashire,Connecticut,29620,-48.174674,111.124391,"Engineer, civil (consulting)",1940-11-29
2234987804155135,Jeremy,Turner,M,8133 Hall Village,Susanborough,Nevada,77729,62.6440255,141.757350,Chemical engineer,1970-03-26
341426584257278,Thomas,Hamilton,F,2862 Kenneth Ports,Nicolefort,North Dakota,87724,46.895022,-175.304979,Cartographer,1966-08-13
3549151345970746,Gerald,Dominguez,M,4911 Cooper Fort Apt. 891,Kaylaland,Hawaii,81316,76.787146,95.955519,"Engineer, electronics",1990-05-28
373647983248383,Lori,Blair,M,5932 Felicia Bridge Apt. 454,North Jessicastad,Alabama,89886,-0.950675,-133.451787,Theatre director,1991-06-18
3529417183520750,Shannon,Mcdonald,M,648 Nichols Way,New Samantha,Vermont,69920,-8.2439755,48.483453,"Designer, blown glass/stained glass",1956-10-28
2490999422426128,Tyler,Gutierrez,M,5936 Jensen Fields Suite 957,New Cynthiafort,Washington,63406,46.583339,-18.917423,Commercial art gallery manager,1949-05-22
576618394422,Eric,Andrews,M,8974 Deanna Lodge,Port Cory,Virginia,65928,30.299276,-48.334648,Community education officer,1981-11-29
6011099504413135,Elizabeth,Green,F,5619 Maria Flat,West Jesseshire,Idaho,27009,-80.354885,-46.428775,Television/film/video producer,1994-02-01
4210739352814,Carol,Santos,F,639 Alison Center,New Michael,Nebraska,47607,-43.0886185,-37.421874,Heritage manager,1949-01-07
4286398460569,Chris,Allen,F,1981 Ryan Lodge,Justinshire,Wisconsin,91582,-76.1659255,68.590931,Management consultant,1955-06-21
4624954486132940818,Tiffany,Garcia,F,794 Teresa Skyway,Dennisport,Vermont,98806,-33.9285625,-20.020145,"Surveyor, rural practice",1986-01-07
30382665720658,Steven,Meza,M,38869 Mark Garden,Lake Michael,South Dakota,76343,-85.1640915,33.599679,Information systems manager,1996-07-31
2720964270869334,Cory,Pruitt,M,66644 Warner Plaza,Deannabury,North Carolina,17762,-35.0217485,-4.441543,Horticultural therapist,1969-07-25
2246662568369216,Kristen,Hahn,M,3711 Rhonda Island Apt. 892,Port April,Mississippi,76798,-71.290631,150.343096,Petroleum engineer,1959-11-17
4472125057012292,Corey,Perez,F,0730 Matthew Ferry,Peterstad,Connecticut,86658,-67.599362,-23.148532,"Doctor, general practice",1994-03-07
2506664949451874,Suzanne,Smith,M,099 Blake Forks Apt. 532,Rogerstad,Kentucky,40863,-83.301156,-34.762611,"Designer, interior/spatial",1964-12-03
4303742023702,Gregg,Coleman,M,3740 Odonnell View Suite 573,Port Elizabeth,Ohio,59179,4.2392365,-176.407880,Politician's assistant,1959-08-31
6011495152749392,Daniel,Sanchez,F,5714 Decker Burgs Apt. 574,Careyland,Texas,01976,53.118163,91.435071,Pharmacologist,1949-06-26
4034124234160893,Andrew,Lynn,F,964 Alexander Corners Apt. 156,Mathisview,Wyoming,81269,-80.076725,94.666152,Insurance underwriter,1962-05-16
2377354330112501,Jason,Crawford,M,53675 Jay Brook Apt. 389,Perezland,New York,17522,-86.114403,67.256846,Garment/textile technologist,1961-10-03
30310245543951,Lori,Scott,M,02148 Matthew Cove Suite 435,Gabrielabury,Oklahoma,79228,41.371144,-137.716007,Insurance account manager,1980-11-16
342755925537611,Brian,Bryant,F,7365 Allen Mount Suite 103,West Rhonda,Utah,41153,-45.3514375,-26.998480,Fashion designer,1946-08-05
346912934761213,Ricardo,Obrien,F,991 Cooper Shoals,Wallaceberg,Vermont,90799,50.4402885,-170.846482,"Programmer, multimedia",1972-11-29
4673290354661,Gary,Smith,M,706 Tammy Knoll,South Amanda,New Mexico,65935,37.489942,12.378957,Games developer,1969-07-09
6011411436098845,Laurie,Reynolds,M,646 Mayo Overpass,Smithmouth,Montana,13494,55.987000,-88.822365,"Radiographer, therapeutic",1954-07-20
4422704794652577,Catherine,Smith,M,32926 Adams Vista,Wallaceville,Montana,01391,-73.848261,-161.951943,Purchasing manager,1969-05-04
213190127868026,Sara,Gay,F,9157 Blevins Row,Cruzfurt,Maryland,59226,50.5916035,-106.180114,Commercial art gallery manager,1967-12-08
3561395530259570,Rachael,Silva,M,8751 Norris Courts Apt. 019,Coreyfort,Nebraska,93921,-25.2234645,-102.173326,Air traffic controller,2003-08-14
4613958709162218,James,Petty,F,026 Nicholson Roads Suite 736,Port Taylor,Nebraska,32672,-6.823864,-149.768162,Data scientist,1990-08-12
3542586071116013,Cynthia,Villarreal,M,31941 Kelly Green,West Matthewmouth,Pennsylvania,95915,74.8246295,-12.803568,"Journalist, magazine",1991-11-23
180019120840162,Ryan,Munoz,F,479 Martinez Lights,West Samanthastad,New Jersey,76346,-84.0650785,-130.670326,Sports administrator,1948-08-23
4009712428191640,Billy,Davis,F,62415 Cardenas Shores,Port Gabriel,Alaska,86610,80.8745035,-174.683796,Haematologist,1978-12-16
342770915691120,Walter,King,M,1600 Stephen Roads Apt. 541,Whitehaven,Virginia,16497,45.895549,103.055881,Commissioning editor,1985-03-13
213141750314036,Patrick,Bowen,F,49690 Brown Parkway,New Jasonfort,Mississippi,27390,-72.1874495,36.276816,Careers information officer,1960-06-08
180004837692494,John,Boyd,M,2728 Glass Crossing Suite 570,North Melissaland,Georgia,12949,-33.9280355,62.165794,Publishing rights manager,1947-03-26
30312013959187,Lori,Riley,M,945 Ann Harbors Suite 189,Jonesville,Alaska,70523,77.766934,88.778180,Educational psychologist,1949-09-19
4629239867139478371,Isaiah,Jacobson,M,59402 Margaret Extension,Port Johnstad,Idaho,19976,66.8705575,18.321970,Barrister's clerk,1999-12-05
344428765983521,Debra,Foley,F,98462 Jackie Skyway,Ewinghaven,Hawaii,46957,-86.7617775,102.957693,Actor,1973-08-05
2250033363128285,Eugene,Proctor,M,89809 Williams Glen Suite 532,Lake Amanda,Iowa,53132,61.3203755,-118.828599,"Research officer, political party",1989-12-24
6575796221891414,Elaine,Saunders,M,47541 Bradley Square Apt. 772,Jeffreybury,Oregon,82952,77.895332,-104.693580,Garment/textile technologist,1955-06-07
342805570023415,Barbara,Watts,M,7237 Maria Estate,Curtisborough,Virginia,39646,-66.013839,-177.335282,Pension scheme manager,1975-12-31
180008581964504,Laura,Lopez,F,11391 Stephanie Spurs Suite 967,New Patriciaborough,Washington,21148,37.6515255,-44.513994,Midwife,1982-12-27
4277097855272071797,Jessica,Hernandez,F,540 Vazquez Vista,Brownmouth,Nebraska,74144,59.868056,-11.317834,"Engineer, communications",1984-11-10
4097453063150,Samuel,Spencer,F,43319 Hannah Plains Apt. 316,Port Sheenafort,Florida,94384,-59.783254,-99.086734,Medical illustrator,1936-01-05
3552499665440012,Christopher,Stewart,M,16145 Ruiz Harbor Suite 270,West Alexisstad,Minnesota,07070,-10.300156,-74.778378,Environmental education officer,2003-09-09
3553417331475807,Tina,Harmon,F,37328 Julie Ports Apt. 416,Jaredview,Oregon,88000,9.032610,-85.423981,"Education officer, environmental",1935-12-16
36387333798329,Shannon,Chavez,M,4426 Robert Squares,Hortonfurt,North Dakota,03735,-40.9355945,-61.386044,"Designer, fashion/clothing",1943-10-17
5154646977919540,Jennifer,Hopkins,M,934 Jasmine Shoal Apt. 950,Gillside,Nebraska,59024,21.1845815,81.979176,"Programmer, systems",1999-09-21
4251322344669,Jacqueline,White,F,2705 Jacqueline Crossing Apt. 299,Port Shannonland,Oregon,25065,84.561913,-159.289444,Manufacturing systems engineer,1982-12-18
377670293928318,Cynthia,Collins,M,99079 Thompson Corner Apt. 582,East Daniel,Nebraska,11582,36.7875225,-63.912395,"Editor, magazine features",2001-05-13
30528481728867,David,Williams,F,84473 Rodgers Crossroad Apt. 800,West Margaret,Nevada,65695,-24.012641,-176.392256,Retail manager,1948-10-31
4958891067652657,Charles,Faulkner,F,3422 Rebecca Ways Apt. 306,Mcguiretown,Wyoming,16442,-33.801942,-152.080737,"Civil engineer, contracting",1936-07-30
4345923927086,Mark,Stewart,M,089 Carson Islands Suite 197,Michaelmouth,Illinois,30982,54.955043,143.973956,IT technical support officer,1979-04-05
